// Job-specific Values Database
//
// Structure of Database:
// JobID,Weight,HPFactor,HPMultiplicator,SPFactor,Unarmed,Dagger,1HSword,2HSword,1HSpear,2HSpear,1HAxe,2HAxe,1HMace,2HMace(unused),Rod,Bow,Knuckle,Instrument,Whip,Book,Katar,Revolver,Rifle,Gatling Gun,Shotgun,Grenade Launcher,Fuuma Shuriken,2HStaff,Shield
//================================
// 4th Jobs
// Note: All 4th jobs are currently using the values of their previous jobs since the official ones are unknown.
// This will be updated as more info comes in.
//================================
// Dragon Knight
4252,	35000,150  ,500  ,300  ,40  ,50  ,52  ,55  ,60  ,58  ,48  ,52  ,45  ,52  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,5
// Meister
4253,	38000,90   ,500  ,400  ,40  ,60  ,65  ,200 ,200 ,200 ,45  ,48  ,48  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,6
// Shadow Cross
4254,	32000,110  ,500  ,400  ,40  ,42  ,65  ,200 ,200 ,200 ,80  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,42  ,200 ,95  ,120 ,90  ,100 ,110 ,200 ,9
// Arch Mage
4255,	30000,55   ,500  ,900  ,45  ,52  ,60  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,56  ,5
// Cardinal
4256,	30000,75   ,500  ,800  ,45  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,45  ,45  ,60  ,200 ,50  ,200 ,200 ,44  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,55  ,5
// Windhawk
4257,	32000,85   ,500  ,400  ,40  ,50  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,49  ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,200 ,8
// Imperial Guard
